Name,Material,Sales Contact,Contact Number,Email,Address,City,State,Latitude,Longitude,pin_color,Location_type,notes,service
Carey Office/Facility,"Aggregates, aglime",Shawn Scott,(419) 466-8750,,1794 County Hwy 99,Carey,OH  ,40.963693,-83.368405,#2F5D63,,,Asphalt Plant
Carrollton Office/Facility,Ready Mix,Dale Mathew ,(419) 303-5431,,1031 Kensington Road NE,Carrollton,OH  44615,40.590686,-81.080011,#2F5D64,,,Asphalt Plant
Celina Office/Facility,"Aggregates, aglime, asphalt",Dale Mathew ,(419) 303-5431,,6430 Karch Road,Celina,OH  ,40.536297,-84.657119,#2F5D65,,,Asphalt Plant
Chillicothe Office/Facilities,"aggregates,            asphalt",Randy Grooms            Troy Stegner ,740) 775-3751                 (614) 437-2359,,1177 Hopetown Road,Chillicothe,OH,39.38019,-82.985015,#2F5D66,,,Asphalt Plant
Circleville Office/Facility,Asphalt,Troy Stegner ,(614) 437-2359,,24537 Canal Road,Circleville,OH ,39.561659,-82.986744,#2F5D67,,,Asphalt Plant
Clay Center Office/Facility,"Aggregates, aglime",Sam Schmitz ,(419) 392-2091,,3800 North Bolander Road,Clay Center,OH  43408,41.5683054,-83.3684096,#2F5D68,,,Asphalt Plant
Cleveland Harrison Office/Facility,Asphalt,Jeremy Mantz,(330)-405-7677,,650 Harrison Street,Cleveland,OH  44113,41.4897328,-81.688108,#2F5D69,,,Asphalt Plant
Cleveland West 150th Office Facility,Asphalt,Hannah Lightener,(216) 618-1945,,4900 West 150th,Cleveland,OH  44135,41.419715,-81.802629,#2F5D70,,,Asphalt Plant
Cleveland West 3rd Office/Facility,,Hannah Lightener,(216) 618-1945,,2214 West 3rd Street,Cleveland,OH  44113,41.487059,-81.6846694,#2F5D71,,,Asphalt Plant
Columbus Area Hard Fill,Aggregates,Ed Beach ,(614) 437-2325,,2506 Jackson Pike,Columbus,OH  43223,39.9056316,-83.0231797,#2F5D72,,,Asphalt Plant
Columbus Limestone Office/Facility,Aggregates,Jake Bush          Shawn Scott ,(740) 739-1654                  (419) 466-8750,,3300 Jackson Pike,Grove City,OH  43123,39.8906923,-83.0270247,#2F5D73,,,Asphalt Plant
Copley Office/Facilities,"aggregates, asphalt",Hannah Lightener,(216) 618-1945,,3350 Sawmill Road,Akron(Copley),OH  44321,40.6370081,-82.7776816,#2F5D74,,,Asphalt Plant
Coshocton Office/Facilities,Aggregates            Asphalt                   Ready mix,Todd Achauer                Troy Stegner            Jeff Griffith,(740) 819-3506      (614) 437-2359      (740) 516-4330,,45500 County Road 23,Coshocton,OH  ,40.3036468,-81.9124627,#2F5D75,,,Asphalt Plant
Cumberland Limestone,"Aggregates, Aglime",Todd Achauer,(740)819-3506,,53681 Spencer Road,Cumberland,OH  43732,39.8752776,-81.6747175,#2F5D76,,,Asphalt Plant
Derwent Office/Facility,Aggregates,Matt Ross              Todd Achauer,(740)253-0533         (740)819-3506,,11167 Clay Pike Road,Derwent,OH  43733,39.9207812,-81.5364657,#2F5D77,,,Asphalt Plant
Dorr Street Office/Facility,Asphalt,Scott Rychener, (419) 466-5387,,2435 Dorr Street,Toledo,OH  43607,41.652781,-83.6035935,#2F5D78,,,Asphalt Plant
Dover Office/Facility,Ready Mix,Brian Shepherd ,(330) 607-0228,,142 South Tuscarawas Avenue,Dover,OH  44622,40.5164567,-81.4745411,#2F5D79,,,Asphalt Plant
Dover Ready Mix Concrete Div.,Division Office,,(330) 364-4411,,2301 Progress Steet,Dover,OH  44622,40.54251,-81.499899,#2F5D80,,,Asphalt Plant
East Fultonham Office/Facilities,Aggregates             asphalt                 aglime                ,Todd Achauer         Troy Stegner           sales,(740) 819-3506               (614) 437-2359              (740) 849-2338,todd.achauer@shellyco.com,6305 Saltillo Road,East Fultonham,OH   43735,39.8466267,-82.1308341,#2F5D81,,,Asphalt Plant
Findlay Office/Facility,Asphalt,Scott Rychener, (419) 466-5387,,10148 County Road 313,Findlay,OH  ,41.0555482,-83.6761551,#2F5D82,,,Asphalt Plant
Forest Office/Facility,"Aggregates, Aglime",Shawn Scott,(419) 466-8750,,3798 St Rt 53,Forest,OH  45843,40.762875,-83.53628,#2F5D83,,,Asphalt Plant
Frank Road Office/Facility,Asphalt,Troy Stegner , (614) 437-2359,,395 Frank Road,Columbus,OH ,39.9163817,-82.9999204,#2F5D84,,,Asphalt Plant
Gallipolis Office/Facility,Asphalt,Troy Stegner , (614) 437-2359,,1248 St. Rte. 7,Gallipolis,OH ,38.817031,-82.187821,#2F5D85,,,Asphalt Plant
Genoa Office/Facility,Aggregates,Sam Schmitz ,(419) 392-2091,,677 S. Genoa Clay Center Road,Genoa,OH  43430,41.5023231,-83.3582835,#2F5D86,,,Asphalt Plant
Hillsboro Office/Facility,Asphalt,Troy Stegner , (614) 437-2359,,4301 Roush Road,Hillsboro,OH,39.188885,-83.728697,#2F5D87,,,Asphalt Plant
Kent Office/Facilities,"Aggregates, Asphalt",Hannah Lightener,(216) 618-1945,,1181 Cherry Street,Kent,OH  44240,41.0077989,-81.6301224,#2F5D88,,,Asphalt Plant
Lancaster Office/Facilities,Aggregates        Asphalt,Ed Beach                Troy Stegner,(614) 437-2325            (614) 437-2359,,3232 Logan-Lancaster Rd,Lancaster,OH,39.6928191,-82.581458,#2F5D89,,,Asphalt Plant
Lima Office/Facility,Asphalt,Dale Mathew ,(419) 303-5431,,600 North Sugar Street,Lima,OH  45801,40.7679663,-84.0895407,#2F5D90,,,Asphalt Plant
Lockbourne Sand & Gravel,Aggregates,Jake Bush                Jay Garrison     , (614) 437-2325               (614) 437-2311,,550 Rowe Road,Lockbourne,OH  43137,39.8158353,-82.9871861,#2F5D91,,,Asphalt Plant
Lucasville Office/Facility,Asphalt,Troy Stegner , (614) 437-2359,,851 West Scioto Street,Lucasville,OH  ,38.877581,-83.004266,#2F5D92,,,Asphalt Plant
Marble Cliff Office/Facility,Aggregates        Asphalt,Jake Bush         Shawn Scott, (740) 739-1654   (419) 466-8750   ,,2650 Old Dublin Road,Hilliard,OH  ,40.007963,-83.105879,#2F5D93,,,Asphalt Plant
Marietta Office/Facility,Aggregates            Ready Mix,Phil Parsons                       Nick Hayek, (740) 516-5614           (740) 516-5651,,26650 St. Rte. 7,Marietta,OH  45750,39.380052,-81.400881,#2F5D94,,,Asphalt Plant
Massillon Office/Facility,"Aggregates, Asphalt",Hannah Lightener,(216) 618-1945,,390 Warmington Road SW,Massillon,OH  44646,40.7516507,-81.5172635,#2F5D95,,,Asphalt Plant
Massillon Office/Facility,Ready Mix,Todd Eckert             Carl Edwards, (330) 962-6395                       (330) 321-8084,,1817 Riverside Avenue NW,Massillon,OH  44647,40.8173537,-81.5301731,#2F5D96,,,Asphalt Plant
Maumee Office/Facilities,"Aggregate, Aglime         Asphalt            ReadyMix",Scott Rychener           Sam Schmitz             Sam Brauen ,(419) 466-5387            (419) 392-2091         (419)-341-3584,,1360 Ford Street,Maumee,OH  43537,41.572116,-83.6746863,#2F5D97,,,Asphalt Plant
Maysville Limestone,Aggregates,Todd Achauer,(740)819-3506,,6535 Old Town Road,Mount Perry,OH  43760,39.858763,-82.117273,#2F5D98,,,Asphalt Plant
Medina Office/Facilities,Aggregates          Ready mix,Ted Helton                Hal Lane                  Jack Shear ,(330) 603–6531            (330) 801-9980         (330) 321-8095,,820 West Smith Road,Medina,OH  44256,41.1360749,-81.8852689,#2F5D99,,,Asphalt Plant
North Jackson Office/Facility,Asphalt,Hannah Lightener,(216) 618-1945,,1661 North Bailey Road,North Jackson,OH  44451,41.115734,-80.887233,#2F5D100,,,Asphalt Plant
Noth Ridgeville Office/Facility,Ready Mix, Hal Lane                  Jack Shear ,(330) 801-9980         (330) 321-8095,,7725 Race Road,North Ridgeville,OH  44035,41.373814,-82.044449,#2F5D101,,,Asphalt Plant
Ostrander Office/Facilities,Aggregates         Asphalt,Jake Bush                     Shawn Scott,(740) 739-1654        (419) 466-8750,,8328 Watkins Road,Ostrander,OH  43061,40.2162031,-83.1748628,#2F5D102,,,Asphalt Plant
Peebles Office/Facility,Asphalt,Troy Stegner , (614) 437-2359,,848 Plum Run Road,Peebles,OH  ,38.9501574,-83.3629003,#2F5D103,,,Asphalt Plant
Petersburg Office/Facility,Aggregates,Hannah Lightener,(216) 618-1945,,13484 Youngstown-Pittsburgh Rd,Petersburg,OH  44454,40.9227408,-80.5351779,#2F5D104,,,Asphalt Plant
Piketon Office/Facility,Asphalt,Troy Stegner , (614) 437-2359,,5732 Wakefield Mound Rd,Piketon,OH,39.044889,-83.020417,#2F5D105,,,Asphalt Plant
Portage Asphalt Office/Facility,Asphalt,Scott Rychener, (419) 466-5387,,12570 Greensburg Pike,Portage,OH  43451,41.3114459,-83.6416429,#2F5D106,,,Asphalt Plant
Portage Quarry Office/Facility,"Aggregates, aglime",Sam Schmitz ,(419) 392-2091,,11580 South Dixie Hwy,Portage,OH  43451,41.3182453,-83.6506916,#2F5D107,,,Asphalt Plant
Portland Office/Facility,Aggregates,Phil Parsons,(740) 516-5614,,54301 McDade Road,Portland,OH,39.012986,-81.771475,#2F5D108,,,Asphalt Plant
Reedsville Office/Facility,Aggregates,Phil Parsons,(740) 516-5615,,64584 St. Rte. 124,Reedsville,OH,39.097,-81.75067,#2F5D109,,,Asphalt Plant
Scioto Materials-St Louisville Ofc/Fac,Asphalt,Troy Stegner , (614) 437-2359,,9134 Mt. Vernon Rd.,St Louisville,OH  43071,40.1706421,-82.4204842,#2F5D110,,,Asphalt Plant
Scioto Materials-Westerville Ofc/Fac,Asphalt,Troy Stegner , (614) 437-2359,,6189 Westerville Rd.,Westerville,OH  ,40.095759,-82.92537,#2F5D111,,,Asphalt Plant
Scott Office/Facility,"Aggregates, Aglime",Dale Mathew ,(419) 303-5431,,2364 Richey Road,Convoy,OH,40.969538,-84.648846,#2F5D112,,,Asphalt Plant
Shalersville Office/Facility,Aggregates,Jeremy Mantz ,(330)-405-7677,,3943 Beck Road,Mantua,OH  44255,41.253513,-81.250568,#2F5D113,,,Asphalt Plant
South Bloomfield,Aggregates,Jake Bush                     Shawn Scott,(740) 739-1654        (419) 466-8750,,1839 Weigand Road,Lockbourne,OH  43137,39.7515414,-82.9884885,#2F5D114,,,Asphalt Plant
Springfield Office/Facility,Asphalt,Shawn Scott,(419) 466-8750,,4301 Suth Charleston Pike,Springfield,OH  45502,39.902452,-83.728506,#2F5D115,,,Asphalt Plant
St. Louisville Office/Facility,Aggregates,Jake Bush                     Shawn Scott,(740) 739-1654        (419) 466-8750,,6824 Mt. Vernon Rd.,Newark,OH  ,40.0626929,-82.4069591,#2F5D116,,,Asphalt Plant
Stickney Avenue,Ready Mix,Sam Brauen ,(419)341-3584,,4950 Stickney Avenue,Toledo,OH  43612,41.7071952,-83.5274757,#2F5D117,,,Asphalt Plant
Streetsboro Office/Facilities,"Aggreggates, Asphalt",Hannah Lightener,(216) 618-1945,,8505 St. Rte. 14,Reynoldsburg,OH,39.967349,-82.821912,#2F5D118,,,Asphalt Plant
Tiltonsville Ready Mix Concredt,Ready Mix, Jeff Griffith,(740) 516-4330,,202 Walden Avenue,Tiltonsville,OH  43963,40.1729358,-80.6965289,#2F5D119,,,Asphalt Plant
Twinsburg Office/Facility,Ready Mix,Todd Eckert ,(330) 962-6395,,1516 Highland Road,Twinsburg,OH  44087,41.5650521,-81.5338774,#2F5D120,,,Asphalt Plant
Twinsburg Rail Office/Facility,Aggregates,Hannah Lightener,(216) 618-1945,,8530 Boyle Pkwy,Twinsburg,OH,41.2985897,-81.4618845,#2F5D121,,,Asphalt Plant
West 130 Cleveland Rail Ofc/Fac,Aggregates,Jeremy Mantz,(330)-405-7677,,4431 West 130th Street,Cleveland,OH,41.433524,-81.779855,#2F5D122,,,Asphalt Plant
Willow Island/Reno Ofc/Facility,Aggregates,Phil Parsons ,(740) 516-5614,,30222 St. Rte. 7,Marietta,OH,39.348586,-81.36216,#2F5D123,,,Asphalt Plant
Woodville Asphalt Office/Facility,Asphalt,Scott Rychener ,419) 466-5387,,677 Lime Road,Woodville,OH  43469,41.4610352,-83.36732,#2F5D124,,,Asphalt Plant
York Center Office/Facility,"Aggregates, Aglime",Shawn Scott ,(419) 466-8750,,28855 St. Rte 739,West Mansfield,OH  ,40.414386,-83.452875,#2F5D125,,,Asphalt Plant
Zanesville Office/Facility,Ready Mix,Jeff Griffith ,(740) 516-4330,,1835 West Main Street,Zanesville,OH  43701,39.9456017,-82.0298481,#2F5D126,,,Asphalt Plant
,,,,,,,,39.7837304,-100.445882,#2F5D127,,,Asphalt Plant
Northeast Paving Div. Eurovia Atlantic Coast,Asphalt,,,,17 New Ludlow Road,Granby,MA  01033,42.2239764,-72.5443883,#2F5D128,,,Asphalt Plant
"All States Asphalt, Inc.",,HQ,800-343-9620,info@asmg.com,325 Amherst Road,Sunderland,MA  01375,42.4493015,-72.5606988,#2F5D129,,,Asphalt Plant
"Peckham Industries, Inc",,,,,172 ospect Hill Rd. ,Brewster,NY  10509,41.428277,-73.545264,#2F5D130,,,Asphalt Plant
Northeast Asphalt,,,,,2500 Cold Spring Rd.,Appleton,WI  54914,44.2392129,-88.4855025,#2F5D131,,,Asphalt Plant
Tri-County Asphalt Materials,,,,,405 Andrews Avenue,Youngstown,OH ,41.102643,-80.638938,#2F5D132,,,Asphalt Plant
Allen Myers Locations:,,,,,"PO Box 1340, 1805 Berks Rd",Worcester,PA  19490,40.1808119,-75.333721,#2F5D133,Corporate ,,Asphalt Plant
Aberdeen,"Asphalt, Aggregate",Scott Croney,443-506-9426,scott.croney@allanmyers.com,910 Old Philadelphia Rd,Abedeen,MD  21001,39.488071,-76.191878,#2F5D134,Plant,,Asphalt Plant
Bishop,Asphalt,Michael Gygrynuk,302-218-6815,michael.gygrynuk@allanmyers.com,10031 Kepler Lane,Bishopville,MD  21813,38.4205986,-75.2189187,#2F5D135,,,Asphalt Plant
"Capital, DC",Asphalt,Rafael Gonzalez,571-643-5397,rafael.gonzalez@allanmyers.com,4901 Shepherd Pkwy SW,Washington DC,DC  20032,38.815933,-77.018271,#2F5D136,,,Asphalt Plant
Cedar Hill,Quarry,Sandy Jones           Joe Buckley,443-571-0752           610-222-3178,sandy.jones@allanmyers.com Joe.Buckley@allanmyers.com,219 Quarry Road,Peach Bottom,PA  17563,39.7313554,-76.1386838,#2F5D137,,,Asphalt Plant
Chesapeake,Asphalt,Ricky Thomas   Mke Menkins,757-582-8519            610-560-4923,Ricky.Thomas@allanmyers.com,5300 Bainbridge Blvd,Chesapeake,VA  23320,36.7429853,-76.2931504,#2F5D138,,,Asphalt Plant
Coatesville,Asphalt,Greg Atkinson        Mike Menkins,610-560-7912          610-560-4923,greg.atkinson@allanmyers.com,410 Doe Run Rd.,Coatesville,PA  19320,39.9624788,-75.8402324,#2F5D139,,,Asphalt Plant
Delmar,Asphalt,Michael Gygrnuk   Mike Menkins,302-218-6815        610-560-4923,michael.gygrynuk@allanmyers.com,8788 Patton Road,Delmar,MD  21875,39.5670548,-76.4571631,#2F5D140,,,Asphalt Plant
Devault,Asphalt ,Greg Atkinson        Mike Menkins,610-560-7912          610-560-4923,greg.atkinson@allanmyers.com,"40456 State Rd, Rte 29 and Charlestown Rd",Devault,PA  19432,40.116177,-75.545191,#2F5D141,,,Asphalt Plant
Dover,Asphalt,Michael Gygrnuk   Mike Menkins,302-218-6815        610-560-4923,michael.gygrynuk@allanmyers.com,3700 Bay Road,Dover,DE  19902,38.9883994,-75.445637,#2F5D142,,,Asphalt Plant
Elk Mills,Quarry,Jesse Betts               Joe Buckley,484-250-0378       610-222-3178,Jesse.Betts@allanmyers.com             Joe.Buckley@allanmyers.com,896 Elk Mill Road,Elk Mills,MD  21291,39.339017,-76.72173,#2F5D143,Quarry,,Asphalt Plant
Fredericksburg,Asphalt,Mike Purkey,804370-7770,Mike.Purkey@AllanMyers.com,382 Kings Hwy,Falmouth,VA  22405,38.2861257,-77.4440841,#2F5D144,,,Asphalt Plant
Georgetown,Asphalt,Michael Gygrnuk   Mike Menkins,302-218-6815        610-560-4923,michael.gygrynuk@allanmyers.com,22351 Joseph Lane,Georgetown,DE  19947,38.6695424,-75.1976405,#2F5D145,,,Asphalt Plant
Harleysville,Asphalt,Robert Boland       Greg Atkinson,484-678-9010     610-476-0680,robert.boland@allanmyers.com               greg.atkinson@allanmyers.com,460 Indian Creek Rd.,Harleysville,PA  19438,40.2800795,-75.4048079,#2F5D146,,,Asphalt Plant
Jessup,Asphalt,Scott Croney         Mike Menkins,443-506-9426            610-560-4923,scott.croney@allanmyers.com,8375 Dorsey Run Road,Jessup,MD  20794,39.1420938,-76.7927037,#2F5D147,,,Asphalt Plant
Leesburg,Asphalt,Rafael Gonzalez         Michael D. Menkins,571-643-5397         610-960-3151,Rafael.gonzalez@allanmyers.com,42050 Cochran Mill Road,Leesburg,VA  20175,39.0750965,-77.5260508,#2F5D148,,,Asphalt Plant
New Kent,Asphalt,Glenn Muse        Mike Menkins,804-432-6662             610-560-4923,glenn.muse@allanmyers.com,7701 Parham Landing Rd,West Point,VA  23181,37.5121901,-76.8579092,#2F5D149,,,Asphalt Plant
North East,Asphalt,Brian Hart             Mike Menkins,410-746-6512            610-560-4923,brian.hart@allanmyers.com,284 Quarry Road,Elkton,MD  21921,39.638264,-75.933498,#2F5D150,,,Asphalt Plant
Paradise,Asphalt & Quarry,Greg Atkinson    Mike Menkins,610-476-0680            610-560-4973,greg.atkinson@allanmyers.com,47 Mcllvain Road,Paradise,PA  17562,39.996298,-76.09022,#2F5D151,Quarry,,Asphalt Plant
Petersburg,Asphalt,Glenn Muse        Mike Menkins,804-432-6662             610-560-4923,glenn.muse@allanmyers.com,2070 Bessemer Road,Petersburg,VA  23805,37.1794845,-77.4190988,#2F5D152,,,Asphalt Plant
Powhatan,Asphalt,Mike Purkey         Mike Menkins,804-370-7770       610-560-4923,Mike.Purkey@AllanMyers.com,1920 Anderson Hwy,Powhatan,VA  23139,37.5173322,-77.7720834,#2F5D153,,,Asphalt Plant
Reading,Asphalt,Robert Boland       Greg Atkinson,484-678-9010     610-476-0680,robert.boland@allanmyers.com               greg.atkinson@allanmyers.com,5662 Leesport Avenue,Reading,PA  19612,40.4209094,-75.9290616,#2F5D154,,,Asphalt Plant
Rockville,Asphalt,Mike Purkey         Mike Menkins,804-370-7770       610-560-4923,Mike.Purkey@AllanMyers.com,2115 Ashland Road,Rockville,VA  23146,37.6988836,-77.6558178,#2F5D155,,,Asphalt Plant
Wakefield,Asphalt,Glenn Muse,804-432-6662,Glenn.Muse@AllanMyers.com,33080 General Mahone Blvd,Wakefield,VA  23888,36.9380064,-76.9407897,#2F5D156,,,Asphalt Plant
Wilmington,Asphalt,Brian Hart             Mike Menkins,410-746-6512       610-560-4923,brian.hart@allanmyers.com,1230 Railcar Ave.,Wilmington,DE  19802,39.741988,-75.532928,#2F5D157,,,Asphalt Plant
"Commercial Asphalt Supply, Inc.",Asphalt,,,,161 Plain Grove Road,Slippery Rock,PA  16057,41.0361128,-80.1441242,#2F5D158,Plant,,Asphalt Plant
Shields Asphalt Paving,Asphalt,,,,161 Plain Grove Road,Slippery Rock,PA  16057,41.0361128,-80.1441242,#2F5D159,Plant,,Asphalt Plant
D & R Supply,Asphalt,,,,18228 Fulton Road,Marshallville,OH  44645,40.8976658,-81.663354,#2F5D160,Plant,,Asphalt Plant
Rupp Construction,Sand and gravel,,,,18228 Fulton Road,Marshallville,OH  44645,40.8976658,-81.663354,#2F5D161,Plant,,Asphalt Plant
HEI WAY,Asphalt,,,info@hei-way.com,290 North Pike Road ,Sarver, PA 16055,40.7485109,-79.7783043,#2F5D162,Plant,,Asphalt Plant
Cranberry Supply,Asphalt,,,,8020 Rowan Road,Cranberry Twp,PA  16066,40.703995,-80.099785,#2F5D163,Distributor,,Asphalt Plant
"Building Products, Inc.",Asphalt,,,sales@buildingprods.com,136 23rd Street,Sharpsburg,PA 15215,40.494657,-79.913984,#2F5D164,Distributor,,Asphalt Plant
Georges Supply,Asphalt,,,,3101 Brownsville Road,South Park Twp,PA  15129,40.284383,-79.999204,#2F5D165,Distributor,,Asphalt Plant
Kiefer Coal & Supply Co,Asphalt,,,,5088 W. Library Ave.,Bethel Park,PA 15102,40.333839,-80.031257,#2F5D166,Distributor,,Asphalt Plant
Russell Brothers Building Supply,Asphalt,,,,101 West Wylie Avenue,Washington,PA  15301,40.1817945,-80.2660626,#2F5D167,Distributor,,Asphalt Plant
Rt 40 Aggregates & Feed,Asphalt,,,rt40supply@gmail.com,800 National Pike West,Brownsille,PA  15417,40.04285,-79.96517,#2F5D168,Distributor,,Asphalt Plant
Snyder Excavating,Asphalt,,,,2824 William Penn Avenue,Johnstown,PA  15909,40.414151,-78.8605839,#2F5D169,Distributor,,Asphalt Plant
James W Gilliland Hauling,Asphalt,,,,77 Auction Road,New Wilmington,PA  16142,41.1317276,-80.329917,#2F5D170,Distributor,,Asphalt Plant
Berkey Excavating,Asphalt,Dave and Kevin Berkey,,wemovetheearth@aol.com,524 Berkey Road,Boxwell,PA  15531,40.1929501,-79.0455735,#2F5D171,Distributor,,Asphalt Plant
McDonald Sand and Gravel,Asphalt,,,,12559 Sanford Road,West Springfield,PA  16443,41.9569157,-80.4274534,#2F5D172,Distributor,,Asphalt Plant
"William Dickson Industries, Inc.",Asphalt,,,contact@williamdicksonindustries.com,133 Locust Road,St. Mary's,PA  15857,41.423174,-78.5536253,#2F5D173,Distributor,,Asphalt Plant
"William Dickson Industries, Inc.",Asphalt,,,,113 Lee Valley Road,Derry,PA  15627,40.36257,-79.385229,#2F5D174,Distributor,,Asphalt Plant
A. Marinelli & Sons,Asphalt,,,hello@marinelliandsons.com,Township Line Road,Darby,PA  19082,39.9747413,-75.2815412,#2F5D175,Distributor,,Asphalt Plant
Allied Landscape Supply,Asphalt,,,,1752 Limekiln Pike,Dresher,PA  19025,40.1405062,-75.1661444,#2F5D176,Distributor,,Asphalt Plant
Allied Landscape Supply,Asphalt,,,,200 Limerick Center Rd.,Limerick,PA 19468,40.2270033,-75.5485317,#2F5D177,,,Asphalt Plant
Allied Landscape Supply,Asphalt,,,,1425 E . Schuylkill Rd. Rt 724,Pottstown,PA 19465,40.22774,-75.624262,#2F5D178,,,Asphalt Plant
Allied Landscape Supply,Asphalt,,,,31 E 1st Ave.,Parkesburg,PA 19365,39.9603811,-75.9120653,#2F5D179,,,Asphalt Plant
D & S Hauling-Stone Supply Yard,Asphalt,,,,"191 Rte. 739, Dingmans Ferry", Dingmans Ferry,PA  18328,41.28664,-74.94041,#2F5D180,Distributor,,Asphalt Plant
JNA Materials,Asphalt,,,,7147 Camphill Road,Whitemarsh,PA  19034,40.1415878,-75.1807734,#2F5D181,Distributor,,Asphalt Plant
M&W Precast & Construction,Asphalt,,,,210 Durham Road,Ottsville,PA  18942,40.4693437,-75.1578401,#2F5D182,Distributor,,Asphalt Plant
"Petke Construction Co., Inc",Asphalt,,,petkes@petkeconstruction.com,2031 Jennie Scher Road,Richmond,VA  23232,37.5266008,-77.3932344,#2F5D183,Distributor,,Asphalt Plant
Martin Marietta,Asphalt,,,,2725 Capital Dr.,Colorado Springs,CO 80915,38.8711387,-104.6756418,#2F5D184,Plant,,Asphalt Plant
Martin Marietta,Asphalt,,,,925 North 35th Avenue,Greeley,CO 80631,40.4342415,-104.7350261,#2F5D185,Plant,,Asphalt Plant
S&K Asphalt Concrete,Asphalt,,,info@skasphaltconcrete.com,,Akron,Ohio,41.083064,-81.518485,#2F5D186,,,Asphalt Plant
Asphalt Materials Inc.,,,,,,,,39.7837304,-100.445882,#2F5D187,,,Asphalt Plant
Columbus,Asphalt,Rich Cross,614-274-6767,rcross@asphalt-materials.com,3737 Fisher Rd.,Columbus,Ohio,39.967385,-83.1008132,#2F5D188,Plant,,Asphalt Plant
Edison,Asphalt,David Neal,,Dneal@asphalt-materials.com,219 1/2 West High Street P.O. Box 247,Edison,Ohio,40.5575994,-82.8676582,#2F5D189,Plant,,Asphalt Plant
Oregon,Asphalt,Douglas Kuiper,,dkuiper@asphalt-materials.com,940 N. Wynn Rd.,Oregon,Ohio,41.6696978,-83.4293397,#2F5D190,Plant,,Asphalt Plant
Marietta,Asphalt,Brian Lawrence,,bryan.lawrence@asphalt-materials .com,13925 State Road 7,Marietta,Ohio,39.392139,-81.404578,#2F5D191,Plant,,Asphalt Plant
HQ,Main Office,,,marketing@asphalt-materials.com,8720 Robbins Rd.,Indianapolis,Indiana,39.9126531,-86.2547057,#2F5D192,,,Asphalt Plant
Indianapolis,Asphalt,Scott Hippert,317-550-9122,shippert@asphalt-materials.com,4902 W. 86th St.,Indianapolis,Indiana,39.9114669,-86.2419147,#2F5D193,Plant,,Asphalt Plant
Warsaw,Asphalt,Larry Chevalier,,lchevalier@asphalt-materials.com,2820 E. Durbin St. ,Warsaw,Indiana,41.234109,-85.821409,#2F5D194,Plant,,Asphalt Plant
Laketon Refining Corp.,Asphalt,Ike Denton,260-568-1000,ike.denton@asphalt-materials.com,2784 Lukens Lake Rd.,Laketon,Indiana,40.971298,-85.842445,#2F5D195,Plant,,Asphalt Plant
Emulsicoat Mt. Vernon,,Jeremy Dilley,217-240-0216,jdilley@asphalt-materials.com,1200 Old Hwy 69 S.,Mount Vernon,Indiana,37.921695,-87.944586,#2F5D196,Plant,,Asphalt Plant
Kokosing Materials,,,,,,,,39.7837304,-100.445882,#2F5D197,,,Asphalt Plant
Woodville Plant,Asphalt,,419-849-2456,kmisalesteam@kokosing.biz,875 East main St.,Woodville,Ohio,41.4466292,-83.3539339,#2F5D198,Plant,,Asphalt Plant
Sheffield Plant ,Asphalt,,440-277-9740,kmisalesteam@kokosing.biz,4140 East River Rd.,Sheffield,Ohio,41.4410893,-82.098136,#2F5D199,Plant,,Asphalt Plant
Columbia Station Plant,Asphalt,,440-236-3869,kmisalesteam@kokosing.biz,13315 Hawke Rd.,Columbia Station,Ohio,41.31311,-81.94681,#2F5D200,Plant,,Asphalt Plant
Cleveland Plant,Asphalt,,216-441-8892,kmisalesteam@kokosing.biz,3000 Independence Rd.,Cleveland,Ohio,41.4773303,-81.6677042,#2F5D201,Plant,,Asphalt Plant
Garfield Heights Plant,Asphalt,,216-587-4900,kmisalesteam@kokosing.biz,13700 McCracken Rd.,Cleveland,Ohio,41.4251317,-81.5717076,#2F5D202,Plant,,Asphalt Plant
East Claridon Plant,Asphalt,,440-635-5063,kmisalesteam@kokosing.biz,14948 Mayfield Rd.,East Claridon,Ohio,41.5336352,-81.1082765,#2F5D203,Plant,,Asphalt Plant
Grand River Plant,Asphalt,,419-849-9999,kmisalesteam@kokosing.biz,15 Williams St.,Grand River,Ohio,41.745795,-81.2854568,#2F5D204,Plant,,Asphalt Plant
Ashtabula Plant,Asphalt,,,kmisalesteam@kokosing.biz,1601 E. 21st St.,Ashtabula,Ohio,41.8893239,-80.7777463,#2F5D205,Plant,,Asphalt Plant
Medina Plant,Asphalt,,330-721-2775,kmisalesteam@kokosing.biz,310 North State Rd.,Medina,Ohio,41.1435517,-81.8782617,#2F5D206,Plant,,Asphalt Plant
Shalersville Plant,Asphalt,,330-274-2282,kmisalesteam@kokosing.biz,3486 Frost Rd.,Mantua,Ohio,41.2629127,-81.2637611,#2F5D207,Plant,,Asphalt Plant
Tallmadge Plant,Asphalt,,330-968-3800,kmisalesteam@kokosing.biz,741 Tallmadge Rd.,Kent,Ohio,41.1000396,-81.3518109,#2F5D208,Plant,,Asphalt Plant
Wooster Plant,Asphalt,,330-263-4168,kmisalesteam@kokosing.biz,1516 Timken Rd.,Wooster,Ohio,40.7800475,-81.9390884,#2F5D209,Plant,,Asphalt Plant
